Sl.No,id,name,salary,start_date,department
1,2005001,Clark Kent,15000,01-01-2005,Media 
2,2005002,Bruce Wayne,80000,01-01-2005,Executive
3,2005003,Hal Jordan,10000,01-01-2005,Defence
4,2005004,Barry Allen,15000,01-04-2005,Forensics 
5,2005005,Wally West,15000,01-04-2005,Media
6,2006001,Arthur Curry,30000,03-05-2006,Catering
7,2007001,Oliver Queen,80000,01-10-2007,Executive
8,2007002,Richard Grayson,5000,01-10-2007,IT
9,2007003,Tim Drake,15000,01-10-2007,IT
10,2007004,Jason Todd,20000,01-10-2007,IT
11,2007005,Tony Stark,90000,15-11-2007,Executive
12,2007006,Steve Rogers,25000,15-11-2007,Sports
13,2007007,Peter Parker ,20000,15-11-2007,Media
14,2008001,Clint Barton,40000,02-02-2008,IT
15,2008002,Bruce Banner,30000,02-02-2008,R&D
16,2008003,Reed Richards,35000,02-02-2008,R&D
17,2008004,Ellie Satler,40000,15-02-2008,R&D
18,2008005,John Hammond,90000,01-05-2008,Executive
19,2008006,Ian Malcolm,60000,01-05-2008,Accounts
20,2008007,Alan Grant,60000,01-05-2008,R&D
